total test count: 100, population size: 100, maximum iteration: 1000, fitness target: 1.000e-04
min err: 0.00008488, max err: 0.00027233
min err: 0.00008366, max err: 0.00029397
min err: 0.00009516, max err: 0.00032891
min err: 0.00009634, max err: 0.00028184
min err: 0.00009678, max err: 0.00027001
min err: 0.00009759, max err: 0.00030534
min err: 0.00008332, max err: 0.00028762
min err: 0.00009776, max err: 0.00033759
min err: 0.00009077, max err: 0.00029283
min err: 0.00007866, max err: 0.00032502
min err: 0.00009616, max err: 0.00028379
min err: 0.00009296, max err: 0.00030129
min err: 0.00008325, max err: 0.00044136
min err: 0.00008763, max err: 0.00027087
min err: 0.00008821, max err: 0.00039044
min err: 0.00008242, max err: 0.00035031
min err: 0.00006403, max err: 0.00025143
min err: 0.00009647, max err: 0.00029243
min err: 0.00009177, max err: 0.00031828
min err: 0.00009692, max err: 0.00028873
min err: 0.00007628, max err: 0.00033323
min err: 0.00008602, max err: 0.00033884
min err: 0.00007831, max err: 0.00035375
min err: 0.00009371, max err: 0.00030899
min err: 0.00009467, max err: 0.00028197
min err: 0.00009211, max err: 0.00028079
min err: 0.00004924, max err: 0.00034654
min err: 0.00009091, max err: 0.00027156
min err: 0.00008937, max err: 0.00037164
min err: 0.00009725, max err: 0.00031300
min err: 0.00009320, max err: 0.00027576
min err: 0.00008416, max err: 0.00039557
min err: 0.00009369, max err: 0.00040950
min err: 0.00008181, max err: 0.00039316
min err: 0.00008749, max err: 0.00032613
min err: 0.00009575, max err: 0.00026437
min err: 0.00008041, max err: 0.00041258
min err: 0.00009682, max err: 0.00037951
min err: 0.00007745, max err: 0.00031350
min err: 0.00009833, max err: 0.00032275
min err: 0.00009937, max err: 0.00030960
min err: 0.00008744, max err: 0.00027050
min err: 0.00007759, max err: 0.00027179
min err: 0.00009192, max err: 0.00034368
min err: 0.00007674, max err: 0.00030672
min err: 0.00007983, max err: 0.00031991
min err: 0.00009649, max err: 0.00031689
min err: 0.00008340, max err: 0.00034482
min err: 0.00008453, max err: 0.00030747
min err: 0.00008737, max err: 0.00035792
min err: 0.00007703, max err: 0.00027318
min err: 0.00009872, max err: 0.00038057
min err: 0.00006400, max err: 0.00027232
min err: 0.00007985, max err: 0.00057120
min err: 0.00008285, max err: 0.00023120
min err: 0.00009455, max err: 0.00032398
min err: 0.00008355, max err: 0.00030355
min err: 0.00009210, max err: 0.00038549
min err: 0.00008066, max err: 0.00036433
min err: 0.00008796, max err: 0.00030739
min err: 0.00009290, max err: 0.00028060
min err: 0.00007755, max err: 0.00032959
min err: 0.00009191, max err: 0.00032748
min err: 0.00007836, max err: 0.00036554
min err: 0.00008296, max err: 0.00033734
min err: 0.00008034, max err: 0.00027545
min err: 0.00007432, max err: 0.00036686
min err: 0.00009290, max err: 0.00027394
min err: 0.00009955, max err: 0.00027991
min err: 0.00009488, max err: 0.00031275
min err: 0.00008572, max err: 0.00031120
min err: 0.00005949, max err: 0.00026103
min err: 0.00008694, max err: 0.00030490
min err: 0.00008724, max err: 0.00031128
min err: 0.00008724, max err: 0.00033549
min err: 0.00008175, max err: 0.00033974
min err: 0.00009688, max err: 0.00034967
min err: 0.00008359, max err: 0.00031160
min err: 0.00008228, max err: 0.00030372
min err: 0.00009287, max err: 0.00036971
min err: 0.00008794, max err: 0.00028073
min err: 0.00009032, max err: 0.00034152
min err: 0.00009442, max err: 0.00032631
min err: 0.00009714, max err: 0.00033911
min err: 0.00008976, max err: 0.00025303
min err: 0.00008083, max err: 0.00027275
min err: 0.00008586, max err: 0.00028411
min err: 0.00009902, max err: 0.00047124
min err: 0.00005514, max err: 0.00032897
min err: 0.00009865, max err: 0.00027411
min err: 0.00009536, max err: 0.00033501
min err: 0.00009049, max err: 0.00027002
min err: 0.00009196, max err: 0.00031351
min err: 0.00009371, max err: 0.00039836
min err: 0.00008889, max err: 0.00026273
min err: 0.00007424, max err: 0.00027917
min err: 0.00009223, max err: 0.00030684
min err: 0.00007418, max err: 0.00034543
min err: 0.00008025, max err: 0.00029384
min err: 0.00008702, max err: 0.00040797
success rate: 0.960000
